id,yr,cm,dcm,annualprec,summerpdsi,wintertemp,growthGroup,pdsiGroup
957.0,1998.0,10.55,0.024999999999999908,1.7853,-0.925,5.516666666666667,3,1
957.0,2002.0,10.7,0.10000000000000052,1.8294,-0.925,5.25,3,1
959.0,1998.0,18.8,0.15000000000000036,1.7853,-0.925,5.516666666666667,3,1
959.0,2002.0,19.4,0.2999999999999989,1.8294,-0.925,5.25,3,1
959.0,2004.0,20.05,0.34999999999999964,1.65325,-1.41875,5.383333333333335,3,2
959.0,2006.0,20.6,0.20000000000000107,1.4076000000000002,-2.4491666666666667,5.455555555555557,3,3
959.0,2008.0,21.05,0.25,1.5153,-2.01875,3.43333333333333,3,3
959.0,2010.0,21.6,0.5999999999999979,1.7804,-0.9775,3.5833333333333304,3,1
501.0,1998.0,3.95,0.4249999999999999,1.7853,-0.925,5.516666666666667,3,1
501.0,2002.0,5.25,0.4500000000000002,1.8294,-0.925,5.25,3,1
501.0,2004.0,5.75,0.049999999999999815,1.65325,-1.41875,5.383333333333335,3,2
501.0,2006.0,5.949999999999998,0.1499999999999999,1.4076000000000002,-2.4491666666666667,5.455555555555557,3,3
501.0,2008.0,6.449999999999998,0.3500000000000001,1.5153,-2.01875,3.43333333333333,3,3
501.0,2010.0,7.1,0.6000000000000005,1.7804,-0.9775,3.5833333333333304,3,1
955.0,1998.0,17.299999999999994,0.049999999999999815,1.7853,-0.925,5.516666666666667,3,1
955.0,2002.0,17.549999999999994,0.15000000000000036,1.8294,-0.925,5.25,3,1
955.0,2004.0,17.799999999999994,0.09999999999999963,1.65325,-1.41875,5.383333333333335,3,2
955.0,2006.0,18.05,0.15000000000000036,1.4076000000000002,-2.4491666666666667,5.455555555555557,3,3
955.0,2008.0,18.45,0.25,1.5153,-2.01875,3.43333333333333,3,3
955.0,2010.0,18.85,0.3000000000000007,1.7804,-0.9775,3.5833333333333304,3,1
643.0,1998.0,18.700000000000006,0.049999999999999815,1.7853,-0.925,5.516666666666667,3,1
